City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,46.06,66,75,3.44,AR,1650742629
Arrondissement de Tulle,45.3333,1.8333,44.98,99,100,6.35,FR,1650742639
Port Blair,11.6667,92.75,80.64,94,20,2.3,IN,1650742640
Iqaluit,63.7506,-68.5145,11.93,72,20,3.44,CA,1650742640
Caravelas,-17.7125,-39.2481,80.19,80,48,8.1,BR,1650742640
Kaabong,3.4836,34.1492,67.42,76,99,6.55,UG,1650742640
Bluff,-46.6,168.3333,51.8,77,100,18.34,NZ,1650742641
Mayumba,-3.432,10.6554,78.03,86,100,4.88,GA,1650742641
Pevek,69.7008,170.3133,5.58,97,100,3.49,RU,1650742610
Rikitea,-23.1203,-134.9692,75.56,75,100,11.63,PF,1650742641
Mudgee,-32.5943,149.5871,53.65,87,40,6.91,AU,1650742487
Sabzawār,36.2126,57.6819,65.48,45,0,11.5,IR,1650742642
Yaan,7.3833,8.5667,79.56,71,69,14.83,NG,1650742642
Shingū,33.7333,135.9833,61.72,92,100,3.09,JP,1650742640
Anderson,34.5334,-82.6499,82.54,50,75,9.22,US,1650742501
Cap Malheureux,-19.9842,57.6142,77.47,66,62,10.0,MU,1650742643
Tasiilaq,65.6145,-37.6368,41.16,87,81,5.23,GL,1650742643
Kaitangata,-46.2817,169.8464,50.9,91,100,11.03,NZ,1650742644
Abbotsford,49.058,-122.2526,59.27,57,75,8.05,CA,1650742362
Aswān,24.0934,32.907,87.1,7,0,12.66,EG,1650742645
Harar,9.3094,42.1258,63.09,66,28,5.64,ET,1650742645
Cherskiy,68.75,161.3,16.39,94,99,1.32,RU,1650742645
Mehamn,71.0357,27.8492,38.32,90,89,15.26,NO,1650742646
Neustrelitz,53.3667,13.0833,40.8,85,11,8.01,DE,1650742646
Klaksvík,62.2266,-6.589,45.52,82,100,22.01,FO,1650742647
North Vernon,39.0062,-85.6236,83.86,47,41,14.81,US,1650742647
Tuktoyaktuk,69.4541,-133.0374,21.2,68,0,13.8,CA,1650742647
Bredasdorp,-34.5322,20.0403,58.41,67,95,5.21,ZA,1650742648
Upernavik,72.7868,-56.1549,12.99,85,100,10.38,GL,1650742447
